Designator,Footprint,Quantity,Value,LCSC Part #
"C1_6, C1_5, C1_4, C1_3, C1_2, C1, C2_6, C2_5, C2_4, C2_3, C2_2, C2, C3_6, C3_5, C3_4, C3_3, C3_2, C3",0805,18,100nF,
"D1_6, D1_5, D1_4, D1_3, D1_2, D1, D2_6, D2_5, D2_4, D2_3, D2_2, D2, D3_6, D3_5, D3_4, D3_3, D3_2, D3, D4_6, D4_5, D4_4, D4_3, D4_2, D4",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,24,WS2812B,C114587
"J1_6, J1_5, J1_4, J1_3, J1_2, J1",PinSocket_1x08_P2.54mm_Vertical,6,Power,
"J2_6, J2_5, J2_4, J2_3, J2_2, J2",PinSocket_1x10_P2.54mm_Vertical,6,Digital/PWM,
"J3_6, J3_5, J3_4, J3_3, J3_2, J3",PinSocket_1x06_P2.54mm_Vertical,6,Analog,
"J4_6, J4_5, J4_4, J4_3, J4_2, J4",PinSocket_1x08_P2.54mm_Vertical,6,Digital/PWM,
"J5_6, J5_5, J5_4, J5_3, J5_2, J5, J7_6, J7_5, J7_4, J7_3, J7_2, J7",PinSocket_1x03_P2.54mm_Vertical,12,Neopixel,
"J6_6, J6_5, J6_4, J6_3, J6_2, J6","PhoenixContact_MSTBVA_2,5_2-G_1x02_P5.00mm_Vertical",6,PowerIn,
"JP1_6, JP1_5, JP1_4, JP1_3, JP1_2, JP1",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,6,Jumper_2_Open,
"KiKit_FID_B_1, KiKit_FID_B_2, KiKit_FID_B_3, KiKit_FID_T_1, KiKit_FID_T_2, KiKit_FID_T_3",Fiducial,6,Fiducial,
