Designator,Mid X,Mid Y,Rotation,Layer
C1_6,16.75,-13.0,0.0,top
C1_5,70.75,-13.0,0.0,top
C1_4,124.75,-13.0,0.0,top
C1_3,16.75,-68.0,0.0,top
C1_2,70.75,-68.0,0.0,top
C1,124.75,-68.0,0.0,top
C2_6,156.75,-100.6,0.0,top
C2_5,48.75,-100.6,0.0,top
C2_4,102.75,-45.6,0.0,top
C2_3,102.75,-100.6,0.0,top
C2_2,156.75,-45.6,0.0,top
C2,48.75,-45.6,0.0,top
C3_6,68.5,-112.75,90.0,top
C3_5,14.5,-112.75,90.0,top
C3_4,68.5,-57.75,90.0,top
C3_3,122.5,-57.75,90.0,top
C3_2,14.5,-57.75,90.0,top
C3,122.5,-112.75,90.0,top
D1_6,40.19,-47.75,270.0,top
D1_5,94.19,-102.75,270.0,top
D1_4,148.19,-47.75,270.0,top
D1_3,40.19,-102.75,270.0,top
D1_2,148.19,-102.75,270.0,top
D1,94.19,-47.75,270.0,top
D2_6,33.57,-47.75,270.0,top
D2_5,141.57,-47.75,270.0,top
D2_4,141.57,-102.75,270.0,top
D2_3,87.57,-47.75,270.0,top
D2_2,33.57,-102.75,270.0,top
D2,87.57,-102.75,270.0,top
D3_6,134.95,-102.75,270.0,top
D3_5,80.95,-102.75,270.0,top
D3_4,134.95,-47.75,270.0,top
D3_3,26.95,-47.75,270.0,top
D3_2,80.95,-47.75,270.0,top
D3,26.95,-102.75,270.0,top
D4_6,128.33,-102.75,270.0,top
D4_5,20.33,-102.75,270.0,top
D4_4,128.33,-47.75,270.0,top
D4_3,74.33,-102.75,270.0,top
D4_2,74.33,-47.75,270.0,top
D4,20.33,-47.75,270.0,top
J1_6,81.815,-112.485,90.0,top
J1_5,27.815,-112.485,90.0,top
J1_4,81.815,-57.485,90.0,top
J1_3,135.815,-57.485,90.0,top
J1_2,135.815,-112.485,90.0,top
J1,27.815,-57.485,90.0,top
J2_6,75.196,-64.225,90.0,top
J2_5,75.196,-9.225,90.0,top
J2_4,21.196,-64.225,90.0,top
J2_3,129.196,-64.225,90.0,top
J2_2,21.196,-9.225,90.0,top
J2,129.196,-9.225,90.0,top
J3_6,48.125,-57.485,90.0,top
J3_5,156.125,-57.485,90.0,top
J3_4,156.125,-112.485,90.0,top
J3_3,48.125,-112.485,90.0,top
J3_2,102.125,-57.485,90.0,top
J3,102.125,-112.485,90.0,top
J4_6,99.595,-9.225,90.0,top
J4_5,45.595,-64.225,90.0,top
J4_4,45.595,-9.225,90.0,top
J4_3,99.595,-64.225,90.0,top
J4_2,153.595,-64.225,90.0,top
J4,153.595,-9.225,90.0,top
J5_6,12.5,-103.425,90.0,top
J5_5,66.5,-48.425,90.0,top
J5_4,12.5,-48.425,90.0,top
J5_3,66.5,-103.425,90.0,top
J5_2,120.5,-103.425,90.0,top
J5,120.5,-48.425,90.0,top
J6_6,64.8,-88.7,90.0,top
J6_5,118.8,-88.7,90.0,top
J6_4,64.8,-33.7,90.0,top
J6_3,118.8,-33.7,90.0,top
J6_2,10.8,-88.7,90.0,top
J6,10.8,-33.7,90.0,top
J7_6,45.275,-48.025,0.0,top
J7_5,99.275,-48.025,0.0,top
J7_4,99.275,-103.025,0.0,top
J7_3,153.275,-48.025,0.0,top
J7_2,45.275,-103.025,0.0,top
J7,153.275,-103.025,0.0,top
KiKit_FID_B_1,2.0,-2.0,180.0,bottom
KiKit_FID_B_2,172.0,-2.0,180.0,bottom
KiKit_FID_B_3,2.0,-120.0,180.0,bottom
KiKit_FID_T_1,2.0,-2.0,0.0,top
KiKit_FID_T_2,172.0,-2.0,0.0,top
KiKit_FID_T_3,2.0,-120.0,0.0,top
KiKit_TO_1,2.0,-2.0,0.0,top
KiKit_TO_2,172.0,-2.0,0.0,top
KiKit_TO_3,2.0,-120.0,0.0,top
R1_6,13.2125,-70.0,180.0,top
R1_5,67.2125,-15.0,180.0,top
R1_4,121.2125,-70.0,180.0,top
R1_3,121.2125,-15.0,180.0,top
R1_2,13.2125,-15.0,180.0,top
R1,67.2125,-70.0,180.0,top
R2_6,124.7875,-70.0,0.0,top
R2_5,16.7875,-70.0,0.0,top
R2_4,70.7875,-15.0,0.0,top
R2_3,70.7875,-70.0,0.0,top
R2_2,124.7875,-15.0,0.0,top
R2,16.7875,-15.0,0.0,top
RV1_6,20.48,-37.94,0.0,top
RV1_5,128.48,-92.94,0.0,top
RV1_4,128.48,-37.94,0.0,top
RV1_3,74.48,-37.94,0.0,top
RV1_2,74.48,-92.94,0.0,top
RV1,20.48,-92.94,0.0,top
RV2_6,28.59,-37.94,0.0,top
RV2_5,136.59,-37.94,0.0,top
RV2_4,28.59,-92.94,0.0,top
RV2_3,82.59,-37.94,0.0,top
RV2_2,82.59,-92.94,0.0,top
RV2,136.59,-92.94,0.0,top
RV3_6,90.7,-37.94,0.0,top
RV3_5,144.7,-92.94,0.0,top
RV3_4,36.7,-92.94,0.0,top
RV3_3,90.7,-92.94,0.0,top
RV3_2,36.7,-37.94,0.0,top
RV3,144.7,-37.94,0.0,top
U1_6,70.65,-72.6,180.0,top
U1_5,124.65,-72.6,180.0,top
U1_4,124.65,-17.6,180.0,top
U1_3,70.65,-17.6,180.0,top
U1_2,16.65,-72.6,180.0,top
U1,16.65,-17.6,180.0,top
